Department ,Year,Day,Course Code,Course Name,Location ,Start Time ,End Time,
Computer Engineering, 1, Monday, ENGL 158,Communications Skills 2,ENG. AUDIT ,3:00 PM,4:55 PM,
Computer Engineering, 1, Tuesday, COE 152,Basic Electronics,LAB,8:00 AM,2:00 PM,
Computer Engineering, 1, Wednesday, MATH 152,Calculus With Analysis,PB014,10:30 AM,12:25 PM,
Computer Engineering, 1, Wednesday, COE 152,Basic Electronics,NEB-FF2,1:00 PM,2:55 PM,
Computer Engineering, 1, Wednesday, EE 156,Electrical Engineering Drawing,NEB-SF,3:00 PM,5:55 PM,
Computer Engineering, 1, Thursday, EE 172,Electrical Machines,FOSS NB BF T1,8:00 AM,9:55 AM,
Computer Engineering, 1, Thursday, MATH 152,Calculus With Analysis,PB214,1:00 PM,2:55 PM,
Computer Engineering, 1, Thursday, COE 158,Introduction to Information Technology,NEB-FF2,3:00 PM,5:55 PM,
Computer Engineering, 1, Friday, EE 172,Electrical Machines,PB214,1:00 PM,2:55 PM,
Computer Engineering, 3, Monday, COE 354,Operating System,VSLA,13:00,2:55 PM,
Computer Engineering, 3, Monday, COE 368,Database & Info Retrieval,PB214,5:00 PM,5:55 PM,
Computer Engineering, 3, Tuesday, COE 368,Database & Info Retrieval,LAB,8:00 AM,9:55 AM,
Computer Engineering, 3, Tuesday, COE 392,Autotronics Lab,LAB,10:30 AM,3:55 PM,
Computer Engineering, 3, Tuesday, COE 354,Operating System,PB214,4:00 PM,4:55 PM,
Computer Engineering, 3, Wednesday, COE 368,Database & Info Retrieval,NEB-FF1,10:30 AM,12:25 PM,
Computer Engineering, 3, Wednesday, COE 356,Introduction to Software Engineering,NEB-GF,1:00 PM,2:55 PM,
Computer Engineering, 3, Wednesday, COE 354,Operating System,LAB,3:00 PM,4:55 PM,
Computer Engineering, 3, Thursday, COE 358,Embedded Systems,NEB-FF1,8:00 AM,9:55 AM,
Computer Engineering, 3, Thursday, COE 382,Digital System Design 2,NEB-SF,3:00 PM,5:00 PM,
Computer Engineering, 3, Friday, COE 358,Embedded Systems,A110,8:00 AM,9:00 AM,
Computer Engineering, 2, Monday, EE 288 ,Electrical Measurements and Instrumentation,NEB-SF,1:00 PM,2:55 PM,
Computer Engineering, 2, Monday, COE 272,Digital Systems Design 1,N1,5:00 PM,7:00 PM,
Computer Engineering, 2, Tuesday, TE 262,Electromagnetic Field,FOSS NB GF R1,8:00 AM,8:55 AM,
Computer Engineering, 2, Tuesday, MATH 252,Calculus With Several Variables,NEB-GF,10:30 AM,12:25 PM,
Computer Engineering, 2, Tuesday, COE288,Circuit Theory,NEB-GF,1:00 PM,2:55 PM,
Computer Engineering, 2, Tuesday, COE 254,Object-Oriented Programming,PB020,3:00 PM,4:55 PM,
Computer Engineering, 2, Wednesday, MATH 252,Calculus With Several Variables,NEB-GF,10:30 AM,12:25 PM,
Computer Engineering, 2, Wednesday, TE 262,Electromagnetic Field,FOSS NB GF R1,1:00 PM,2:55 PM,
Computer Engineering, 2, Thursday, ECON 152,Elements of Economics 2,PB020,8:00 AM,9:55 AM,
Computer Engineering, 2, Thursday, COE 292,Computer Engineering Labs,LAB,10:30 AM,2:55 PM,
Computer Engineering, 2, Thursday, COE 254,Object-Oriented Programming,LAB,3:00 PM,4:55 PM,
Computer Engineering, 2, Thursday, COE 292,Computer Engineering Labs,LAB,5:00 PM,6:55 PM,
Computer Engineering, 2, Friday, COE 272,Digital Systems Design 1,VSLA,9:00 AM,9:55 AM,
Computer Engineering, 2, Friday, FC 182,French for Communication 2,ENG. AUDIT.,1:00 PM,2:55 PM,,
